"Interface","IfIndex","RX_OID","TX_OID"
"gigabitEthernet 1/0/1","49153","1.3.6.1.2.1.31.1.1.1.6.49153","1.3.6.1.2.1.31.1.1.1.10.49153"
"gigabitEthernet 1/0/2","49154","1.3.6.1.2.1.31.1.1.1.6.49154","1.3.6.1.2.1.31.1.1.1.10.49154"
"gigabitEthernet 1/0/3","49155","1.3.6.1.2.1.31.1.1.1.6.49155","1.3.6.1.2.1.31.1.1.1.10.49155"
"gigabitEthernet 1/0/4","49156","1.3.6.1.2.1.31.1.1.1.6.49156","1.3.6.1.2.1.31.1.1.1.10.49156"
"gigabitEthernet 1/0/5","49157","1.3.6.1.2.1.31.1.1.1.6.49157","1.3.6.1.2.1.31.1.1.1.10.49157"
"gigabitEthernet 1/0/6","49158","1.3.6.1.2.1.31.1.1.1.6.49158","1.3.6.1.2.1.31.1.1.1.10.49158"
"gigabitEthernet 1/0/7","49159","1.3.6.1.2.1.31.1.1.1.6.49159","1.3.6.1.2.1.31.1.1.1.10.49159"
"gigabitEthernet 1/0/8","49160","1.3.6.1.2.1.31.1.1.1.6.49160","1.3.6.1.2.1.31.1.1.1.10.49160"
"gigabitEthernet 1/0/9","49161","1.3.6.1.2.1.31.1.1.1.6.49161","1.3.6.1.2.1.31.1.1.1.10.49161"
"gigabitEthernet 1/0/10","49162","1.3.6.1.2.1.31.1.1.1.6.49162","1.3.6.1.2.1.31.1.1.1.10.49162"
